"Student number",Total
S1811185,66.75
s1877054,17.7
s1844180,49.1
s1817353,34.8
s1774662,22.35
s1538926,7.05
s1688626,14.65
s1870386,39.3
s1830279,29
s1657445,51.1
s1809660,30.2
s1773615,20.7
s1931326,18.4
s1799797,42.8
s1560557,3.45
s1485792,0.05
s1718703,3.95
S1778358,30.55
s1562444,12.85
s1692062,10.1
s1538705,22.55
s1851802,13.8
s1856138,8.95
s1570803,3.75
s1862723,19.75
s1903969,47.3
s1866605,45.05
s1931725,12.65
s1828576,29.35
s1985388,25.4
s1782509,16.55
s1661493,52.75
s1668560,18.55
s1783866,26.85
s2018195,21.5
s1834290,9.3
s1578219,7.45
s1646508,2.9
s1791249,8.5
s1823248,19.75
s1676962,12.3
s1814796,36.8
s1687425,27.6
s1847104,13.4
s1744720,2.45
s1711903,4.35
s1825488,19.8
s1651412,19.15
s1688022,32.95
s1686216,29.9
s1727834,8.35
s1639684,16.1
s1840215,12.4
s1921908,10.2
s1912054,30.75
s1922831,49.25
s1999540,17.15
s1952463,28.75
s2004933,19.55
s1963317,48.4
s1986813,12.8
s1917889,16
s1935887,13.15
s1949578,64.8
s1847805,14.4
s2005573,16.85
s1935364,9.6
s1663135,15.35
s1664050,19.9
s1730258,29.1
s1683829,8.7
s1594249,12.2
s1927213,12.5
s1912151,4.4
s1921622,14.05
s1683985,37.45
s1835858,11
s1857355,10.9
s1663887,8.9
s1995367,14.15
s1903748,6.25
s1993178,17.65
s1690477,4.6
s1810219,2.45
s1822411,3.55
s2014726,3.25
s2025086,11.25
s1915789,30.3
s1988808,3.15
s1958933,4.85
s1789120,6.05
s1527061,6.95
s1587633,0.5
s2033410,14.75
s1663666,18.25
s1776940,23.2
s1680463,19.5
s2008823,3.8
s2014300,16.1
s1819674,3.05
s1912623,5.85
m7648843,3.35
s1573837,3.8
s1971778,3.15
s1569562,14.8
s1986678,7.4
s1707981,6.65
S1924028,10.05
s1918397,1.8
s1944738,19.2
s1662368,3
s1900293,7.9
s2006316,5
m7686814,2.2
s1653598,2.2
s1718762,3.3
s2022818,9.35
s1472372,1.8
m7686051,0.8
s1482637,0.65
s1532677,0.5
s1788345,1
s1833413,17.3
s1234567,124.9
s1710303,2.15
s1831828,3.25
s1425242,0.2
s1420178,3.55
s1787462,1.1
s2019973,1.65
s1705040,0.55
s1986260,0.75
s1537229,0.6
