"Student number",Total
s1687425,18.75
s1661493,6.2
s1538705,24.4
s1789120,7.1
s1809660,54.3
s1814796,36
s1774662,13.25
s1783866,60.65
s1663887,2.5
s1856138,25.9
s1862723,9.25
s1676962,19.75
s1817353,33.65
s1866605,47.15
s1680463,44
s1799797,47.4
s1825488,19.45
s1778358,66.05
s1562444,15.25
s1773615,18.35
s1653598,10.9
s1844180,47.35
s1730258,22.65
s1903748,5.55
s1921908,10.85
s1657445,44.85
s1935887,33.65
s1827448,65.9
s1922831,12.1
s1985388,29.15
s2025086,9.35
s1931326,9.4
s1927213,9.95
s1930540,6.05
s1903969,16.25
s1999540,13.35
s2004933,22.85
s2006316,7.6
s2005573,18.65
s1918397,5.8
s1791249,21.3
s1857355,11.5
s1995367,8.35
s1870386,40.25
s1840215,17.35
s1830279,43.05
s1963317,16.15
s1847805,6.35
s1776940,37.45
s2018195,25.1
s1847104,18.2
s1532677,13.3
s1921622,10.7
s1707981,9.85
s1810219,3.35
s1721542,1.7
s1823248,29.15
s1833308,3.4
s1993178,12.1
s1578219,26.4
s1819674,7.45
s1538926,26.35
s1835858,7.55
s1787462,31.9
s1782509,18.55
s2008823,16.2
s2033410,27
s1986678,8.45
s1917889,11.6
s1952463,26.35
s1915789,19.05
s2014726,11.35
s1918354,21.9
s1877054,29.35
s1851802,13.35
s1912623,7.4
s1833413,21.55
s1949268,23.55
s1912054,35.55
s1986813,7.95
s1646508,2.6
s1900366,14.3
s1944738,14.1
s1557459,3.55
s2014300,11.05
s1527061,25.7
s1569562,8.3
s1971778,7.2
s1831828,5.95
s1570803,8.75
s1410121,0.25
s1834290,9.5
s1912151,13.15
s1800825,8.45
s1935364,3.85
s1809717,3.8
s1639447,0.55
s1735454,1.5
s1900293,1.45
s1931725,9.5
s2022818,1.2
s1811185,42.25
m7686051,0.5
s1788345,0.25
s1744720,1.4
s1560557,7.35
s1949578,11.6
s1958933,1.45
s1828576,3.25
s1573837,2.65
s1726706,0.6
