"Student number",Total
S1811185,76.15
s1877054,22.5
s1844180,56.1
s1817353,41.55
s1774662,24.6
s1538926,8.15
s1688626,15.5
s1870386,43.15
s1830279,36.4
s1657445,56.1
s1809660,38.7
s1773615,23.75
s1931326,20
s1799797,51.75
s1560557,3.45
s1485792,0.05
s1718703,3.95
S1778358,38.15
s1562444,14.25
s1692062,12.6
s1538705,23
s1851802,16.8
s1856138,8.95
s1570803,3.75
s1862723,22.1
s1903969,59.95
s1866605,63.9
s1931725,14.95
s1828576,34.25
s1985388,33.2
s1782509,19.25
s1661493,67
s1668560,23.05
s1783866,31.15
s2018195,32.9
s1834290,15.25
s1578219,14.35
s1646508,4.5
s1791249,9.05
s1823248,23.65
s1676962,15.8
s1814796,44.35
s1687425,33.75
s1847104,14.8
s1744720,3.35
s1711903,4.35
s1825488,24.15
s1651412,20.65
s1688022,40.3
s1686216,39.05
s1727834,8.35
s1639684,17.5
s1840215,12.5
s1921908,12.5
s1912054,38.45
s1922831,51.95
s1999540,17.65
s1952463,30.2
s2004933,23.25
s1963317,55
s1986813,14.75
s1917889,16.55
s1935887,18.7
s1949578,76.95
s1847805,22.15
s2005573,20
s1935364,11.3
s1663135,20.1
s1664050,22.9
s1730258,31.25
s1683829,9.15
s1594249,12.2
s1927213,14.95
s1912151,6.35
s1921622,14.65
s1683985,45.2
s1835858,11.45
s1857355,16.55
s1663887,8.9
s1995367,17.15
s1903748,7.5
s1993178,20.25
s1690477,8.9
s1810219,4.6
s1822411,3.55
s2014726,4.25
s2025086,14.05
s1915789,31.45
s1988808,3.15
s1958933,6.15
s1789120,6.45
s1527061,7.45
s1587633,0.5
s2033410,14.75
s1663666,19.35
s1776940,27.35
s1680463,30.8
s2008823,5.4
s2014300,16.1
s1819674,3.05
s1912623,6.35
m7648843,3.35
s1573837,3.8
s1971778,3.15
s1569562,18.1
s1986678,8.55
s1707981,7.45
S1924028,12.05
s1918397,1.85
s1944738,20.8
s1662368,4.85
s1900293,9.45
s2006316,5.45
m7686814,3.3
s1653598,2.9
s1718762,4.1
s2022818,9.35
s1472372,2.4
m7686051,0.8
s1482637,0.65
s1532677,0.5
s1788345,1
s1833413,21.4
s1234567,124.9
s1710303,2.15
s1831828,4.9
s1425242,0.2
s1420178,3.55
s1787462,1.1
s2019973,1.65
s1705040,0.55
s1986260,0.85
s1537229,0.6
s1790838,1.1
s1735454,0.4
s1721542,0.5
